"Дата","Направени тестове","Тестове за денонощие","Потвърдени случаи","Активни случаи","Нови случаи за денонощие","Хоспитализирани","Новохоспитализирани","В интензивно отделение","Излекувани","Излекувани за денонощие","Починали","Починали за денонощие"
"2020/06/06","89902","2012","2668","980","41","147","12","12","1528","138","160","1"
"2020/06/07","90329","1252","2711","1006","43","155","14","12","1545","17","160","0"
"2020/06/08","90329","427","2727","1019","16","158","5","12","1548","3","160","0"
"2020/06/09","91735","1406","2810","1059","83","152","23","15","1587","39","164","4"
"2020/06/10","93512","1777","2889","1099","79","161","25","13","1623","36","167","3"
"2020/06/11","95820","2308","2993","1162","104","187","76","17","1664","41","167","0"
"2020/06/12","98460","2640","3086","1230","93","204","29","15","1688","24","168","1"
"2020/06/13","101102","2642","3191","1303","105","215","16","15","1716","28","172","4"
"2020/06/14","103077","1975","3266","1371","75","247","35","16","1723","7","172","0"
"2020/06/15","104486","1409","3290","1386","24","244","6","15","1730","7","174","2"
"2020/06/16","106280","1794","3341","1381","51","253","23","14","1784","54","176","2"
"2020/06/17","108325","2045","3453","1455","112","267","35","13","1817","33","181","5"
"2020/06/18","110379","2054","3542","1478","89","276","28","12","1880","63","184","3"
"2020/06/19","112483","2104","3674","1543","132","289","40","13","1941","61","190","6"
"2020/06/20","114854","2371","3755","1554","81","314","39","17","2008","67","193","3"
"2020/06/21","116214","1360","3872","1646","117","322","20","13","2027","19","199","6"
"2020/06/22","116780","566","3905","1632","33","322","6","13","2074","47","199","0"
"2020/06/23","119556","2776","3984","1606","79","341","50","11","2171","97","207","8"
"2020/06/24","122502","2946","4114","1689","130","362","40","13","2217","46","208","1"
"2020/06/25","125518","3016","4242","1770","128","390","59","16","2263","46","209","1"
"2020/06/26","128293","2775","4408","1827","166","384","32","16","2370","107","211","2"
"2020/06/27","131043","2750","4513","1841","105","392","32","18","2457","87","215","4"
"2020/06/28","132571","1528","4625","1934","112","423","40","20","2475","18","216","1"
