"Дата","Пол","Възрастова група","Брой починали"
"2020/06/05","мъж","60 - 69","1"
"2020/06/07","-","-","0"
"2020/06/08","-","-","0"
"2020/06/08","мъж","70 - 79","1"
"2020/06/08","жена","70 - 79","2"
"2020/06/08","мъж","60 - 69","1"
"2020/06/09","жена","70 - 79","1"
"2020/06/09","мъж","50 - 59","1"
"2020/06/09","мъж","70 - 79","1"
"2020/06/11","-","-","0"
"2020/06/11","мъж","80 - 89","1"
"2020/06/12","мъж","70 - 79","1"
"2020/06/12","мъж","40 - 49","1"
"2020/06/12","жена","70 - 79","1"
"2020/06/12","мъж","60 - 69","1"
"2020/06/14","жена","30 - 39","1"
"2020/06/14","жена","40 - 49","1"
"2020/06/14","-","-","0"
"2020/06/15","жена","80 - 89","1"
"2020/06/15","мъж","40 - 49","1"
"2020/06/16","жена","50 - 59","2"
"2020/06/16","жена","60 - 69","1"
"2020/06/16","жена","70 - 79","2"
"2020/06/17","мъж","40 - 49","1"
"2020/06/17","жена","60 - 69","2"
"2020/06/18","мъж","50 - 59","1"
"2020/06/18","мъж","70 - 79","1"
"2020/06/18","жена","70 - 79","2"
"2020/06/18","жена","80 - 89","2"
"2020/06/19","мъж","60 - 69","1"
"2020/06/19","мъж","80 - 89","2"
"2020/06/20","мъж","60 - 69","3"
"2020/06/20","мъж","40 - 49","1"
"2020/06/20","мъж","50 - 59","2"
"2020/06/22","мъж","60 - 69","2"
"2020/06/22","-","-","0"
"2020/06/22","мъж","70 - 79","2"
"2020/06/22","жена","50 - 59","1"
"2020/06/22","жена","70 - 79","2"
"2020/06/22","жена","60 - 69","1"
"2020/06/23","жена","60 - 69","1"
"2020/06/24","мъж","70 - 79","1"
"2020/06/25","мъж","70 - 79","1"
"2020/06/25","мъж","80 - 89","1"
"2020/06/26","мъж","70 - 79","1"
"2020/06/26","жена","30 - 39","1"
"2020/06/26","жена","60 - 69","1"
"2020/06/26","жена","70 - 79","1"
"2020/06/27","жена","70 - 79","1"
"2020/06/28","мъж","40 - 49","1"
"2020/06/28","мъж","50 - 59","1"
"2020/06/28","жена","50 - 59","1"
"2020/06/29","мъж","70 - 79","1"
"2020/06/29","жена","60 - 69","2"
"2020/06/29","мъж","50 - 59","1"
"2020/06/30","мъж","70 - 79","3"
"2020/06/30","мъж","50 - 59","1"
"2020/06/30","жена","50 - 59","1"
"2020/06/30","жена","80 - 89","1"
"2020/06/30","жена","70 - 79","1"
"2020/07/01","жена","60 - 69","1"
"2020/07/01","мъж","60 - 69","1"
"2020/07/03","мъж","50 - 59","1"
"2020/07/03","мъж","20 - 29","1"
"2020/07/03","мъж","40 - 49","1"
"2020/07/03","жена","40 - 49","1"
"2020/07/03","жена","50 - 59","2"
"2020/07/03","жена","70 - 79","1"
"2020/07/03","-","-","0"
"2020/07/04","жена","50 - 59","1"
"2020/07/04","жена","70 - 79","1"
"2020/07/05","жена","80 - 89","1"
"2020/07/05","мъж","80 - 89","1"
"2020/07/05","мъж","60 - 69","2"
"2020/07/05","мъж","40 - 49","1"
"2020/07/06","мъж","70 - 79","2"
"2020/07/06","жена","60 - 69","1"
"2020/07/06","мъж","50 - 59","1"
"2020/07/07","мъж","50 - 59","1"
"2020/07/07","мъж","70 - 79","1"
"2020/07/07","жена","50 - 59","1"
